School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Longitude,Latitude
Ohio University,Midwestern,"$42,200","$73,400","$36,600","$52,800","$106,000","$150,000",-82.100985,39.326798
Illinois State University,Midwestern,"$42,000","$73,400","$39,100","$55,200","$105,000","$142,000",-88.990058,40.509403
Cleveland State University,Midwestern,"$43,500","$73,100","$39,500","$51,600","$97,000","$137,000",-81.673052,41.502918
University of Nebraska at Omaha,Midwestern,"$41,500","$72,600","$39,500","$54,400","$97,400","$126,000",-96.010797,41.257746
Southern Illinois University Carbondale,Midwestern,"$43,000","$72,500","$38,300","$51,300","$99,300","$139,000",-89.217273,37.714193
Eastern Michigan University,Midwestern,"$40,300","$72,100","$37,900","$52,800","$95,400","$135,000",-83.624415,42.245996
Bowling Green State University,Midwestern,"$39,800","$72,100","$38,200","$51,800","$101,000","$146,000",-83.640896,41.375513
St. Cloud State University,Midwestern,"$41,800","$71,400","$38,700","$49,400","$101,000","$126,000",-94.153,45.552418
University of Wisconsin (UW) - Parkside,Midwestern,"$40,700","$71,400","$40,900","$53,100","$84,900","$119,000",-87.855231,42.647718
University of Akron,Midwestern,"$41,100","$70,300","$40,600","$53,300","$95,200","$127,000",-81.511679,41.078551
Missouri State University (MSU),Midwestern,"$36,100","$69,500","$33,300","$46,900","$102,000","$134,000",-93.276821,37.197983
University of Wisconsin (UW) - La Crosse,Midwestern,"$42,200","$69,300","$37,500","$47,200","$93,100","$133,000",-91.230149,43.815295
University of Wisconsin (UW) - Stout,Midwestern,"$43,600","$68,300","$40,900","$50,600","$91,600","$136,000",-91.926653,44.873187
Robert Morris College (RMC),Midwestern,"$38,500","$68,200","$37,300","$47,100","$95,000","$128,000",-80.210468,40.520415
University of Missouri - St. Louis (UMSL),Midwestern,"$41,400","$67,100","$36,800","$49,600","$97,600","$144,000",-90.308886,38.711297
University of Wisconsin (UW) - Oshkosh,Midwestern,"$39,300","$66,400","$37,700","$49,700","$90,100","$138,000",-88.549282,44.024985
University of Missouri - Kansas City (UMKC),Midwestern,"$38,900","$65,800","$36,300","$48,100","$95,800","$124,000",-94.578039,39.035366
University of Wisconsin (UW) - Eau Claire,Midwestern,"$41,400","$64,800","$35,000","$47,300","$93,100","$125,000",-91.500432,44.798431
Ball State University (BSU),Midwestern,"$39,100","$64,500","$35,500","$48,200","$89,300","$128,000",-85.409043,40.203431
Park University,Midwestern,"$44,300","$64,300","$37,200","$45,600","$86,400","$113,000",-94.677086,39.189477
University of Wisconsin (UW) - Stevens Point,Midwestern,"$39,800","$64,000","$38,400","$45,100","$95,400","$128,000",-89.570934,44.529582
Kent State University,Midwestern,"$38,700","$62,600","$36,100","$45,800","$87,000","$124,000",-81.342533,41.146653
University of Wisconsin (UW) - Green Bay,Midwestern,"$35,800","$60,600","$35,500","$46,800","$81,800","$102,000",-87.919973,44.532298
Indiana Wesleyan University (IWU),Midwestern,"$39,800","$58,500","$39,600","$47,800","$78,600","$93,400",-85.677881,40.5112
Pittsburg State University,Midwestern,"$40,400","$58,200","$25,600","$46,000","$84,600","$117,000",-94.704782,37.3913
Davenport University,Midwestern,"$39,700","$46,600","$31,600","$38,100","$65,600","$85,700",-85.529655,42.849713
Black Hills State University,Midwestern,"$35,300","$43,900",N/A,"$32,200","$60,900",N/A,-103.870966,44.494889
Rice University,Southern,"$64,000","$110,000","$55,900","$82,100","$141,000","$216,000",-95.402035,29.717897
Georgetown University,Southern,"$55,000","$110,000","$60,300","$85,800","$174,000","$248,000",-77.073463,38.908809
Duke University,Southern,"$58,900","$106,000","$56,000","$77,400","$149,000","$218,000",-78.937624,36.001135
Georgia Institute of Technology,Southern,"$58,300","$106,000","$67,200","$85,200","$137,000","$183,000",-84.394832,33.77242
Washington and Lee University,Southern,"$53,600","$104,000",N/A,"$82,800","$146,000",N/A,-79.443018,37.788939
Vanderbilt University,Southern,"$51,200","$104,000","$49,900","$68,100","$147,000","$222,000",-86.803369,36.14659
Davidson College,Southern,"$46,100","$104,000",N/A,"$70,500","$146,000",N/A,-80.845236,35.500006
University of Virginia (UVA),Southern,"$52,700","$103,000","$52,200","$71,800","$146,000","$215,000",-78.503428,38.035665
George Washington University (GWU),Southern,"$47,000","$97,900","$48,400","$69,600","$132,000","$194,000",-77.047871,38.89865
